Reference	Value (lower bound)	Value	Value (upper bound)	Tolerance (lower bound)	Tolerance (upper bound)	rel. tol?	Footprint	Datasheets	Digi-Key Part Number	Manufacturer Part Number	Manufacturer	Power (W)	Tolerance	Temperature Coefficent	Price								
R	1.980000e+001	2.000000e+001	2.020000e+001	-1.000000e-002	1.000000e-002	2	0402	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0402FT20R0CT-ND	RMCF0402FT20R0	Stackpole Electronics Inc	6.300000e-002	±1%	±100ppm/°C	0.04000	~	~						
R	7.791300e+003	7.870000e+003	7.948700e+003	-1.000000e-002	1.000000e-002	2	0402	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0402FT7K87CT-ND	RMCF0402FT7K87	Stackpole Electronics Inc	6.300000e-002	±1%	±100ppm/°C	0.04000	~	~						
R	4.940100e+004	4.990000e+004	5.039900e+004	-1.000000e-002	1.000000e-002	2	0402	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0402FT49K9CT-ND	RMCF0402FT49K9	Stackpole Electronics Inc	6.300000e-002	±1%	±100ppm/°C	0.04000	~	~						
R	2.673000e+002	2.700000e+002	2.727000e+002	-1.000000e-002	1.000000e-002	2	0402	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0402FT270RCT-ND	RMCF0402FT270R	Stackpole Electronics Inc	6.300000e-002	±1%	±100ppm/°C	0.04000	~	~						
R	3.267000e+001	3.300000e+001	3.333000e+001	-1.000000e-002	1.000000e-002	2	0402	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0402FT33K0CT-ND	RMCF0402FT33K0	Stackpole Electronics Inc	6.300000e-002	±1%	±100ppm/°C	0.04000	~	~						
R	2.712600e+003	2.740000e+003	2.767400e+003	-1.000000e-002	1.000000e-002	2	0402	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0402FT2K74CT-ND	RMCF0402FT2K74	Stackpole Electronics Inc	6.300000e-002	±1%	±100ppm/°C	0.04000	~	~						
R	2.979900e+003	3.010000e+003	3.040100e+003	-1.000000e-002	1.000000e-002	2	0402	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0402FT3K01CT-ND	RMCF0402FT3K01	Stackpole Electronics Inc	6.300000e-002	±1%	±100ppm/°C	0.04000	~	~						
R	5.544000e+002	5.600000e+002	5.656000e+002	-1.000000e-002	1.000000e-002	2	0402	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0402FT560RCT-ND	RMCF0402FT560R	Stackpole Electronics Inc	6.300000e-002	±1%	±100ppm/°C	0.04000	~	~						
R	5.563800e+002	5.620000e+002	5.676200e+002	-1.000000e-002	1.000000e-002	2	0402	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0402FT562KCT-ND	RMCF0402FT562K	Stackpole Electronics Inc	6.300000e-002	±1%	±100ppm/°C	0.04000	~	~						
R	5.563800e+004	5.620000e+004	5.676200e+004	-1.000000e-002	1.000000e-002	2	0402	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0402FT56K2CT-ND	RMCF0402FT56K2	Stackpole Electronics Inc	6.300000e-002	±1%	±100ppm/°C	0.04000	~	~						
R	6.583500e+002	6.650000e+002	6.716500e+002	-1.000000e-002	1.000000e-002	2	0402	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0402FT665RCT-ND	RMCF0402FT665R	Stackpole Electronics Inc	6.300000e-002	±1%	±100ppm/°C	0.04000	~	~						
R	7.425000e+001	7.500000e+001	7.575000e+001	-1.000000e-002	1.000000e-002	2	0402	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0402FT75K0CT-ND	RMCF0402FT75K0	Stackpole Electronics Inc	6.300000e-002	±1%	±100ppm/°C	0.04000	~	~						
R	8.365500e+002	8.450000e+002	8.534500e+002	-1.000000e-002	1.000000e-002	2	0402	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0402FT845KCT-ND	RMCF0402FT845K	Stackpole Electronics Inc	6.300000e-002	±1%	±100ppm/°C	0.04000	~	~						
R	3.286800e+001	3.320000e+001	3.353200e+001	-1.000000e-002	1.000000e-002	2	0402	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0402FT33R2CT-ND	RMCF0402FT33R2	Stackpole Electronics Inc	6.300000e-002	±1%	±100ppm/°C	0.04000	~	~						
R	4.702500e+003	4.750000e+003	4.797500e+003	-1.000000e-002	1.000000e-002	2	0402	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0402FT4K75CT-ND	RMCF0402FT4K75	Stackpole Electronics Inc	6.300000e-002	±1%	±100ppm/°C	0.04000	~	~						
R	1.039500e+002	1.050000e+002	1.060500e+002	-1.000000e-002	1.000000e-002	2	0402	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0402FT105RCT-ND	RMCF0402FT105R	Stackpole Electronics Inc	6.300000e-002	±1%	±100ppm/°C	0.04000	~	~						
R	1.188000e+002	1.200000e+002	1.212000e+002	-1.000000e-002	1.000000e-002	2	0402	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0402FT120KCT-ND	RMCF0402FT120K	Stackpole Electronics Inc	6.300000e-002	±1%	±100ppm/°C	0.04000	~	~						
R	1.227600e+002	1.240000e+002	1.252400e+002	-1.000000e-002	1.000000e-002	2	0402	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0402FT124RCT-ND	RMCF0402FT124R	Stackpole Electronics Inc	6.300000e-002	±1%	±100ppm/°C	0.04000	~	~						
R	1.633500e+001	1.650000e+001	1.666500e+001	-1.000000e-002	1.000000e-002	2	0402	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0402FT16R5CT-ND	RMCF0402FT16R5	Stackpole Electronics Inc	6.300000e-002	±1%	±100ppm/°C	0.04000	~	~						
R	2.346300e+002	2.370000e+002	2.393700e+002	-1.000000e-002	1.000000e-002	2	0402	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0402FT237RCT-ND	RMCF0402FT237R	Stackpole Electronics Inc	6.300000e-002	±1%	±100ppm/°C	0.04000	~	~						
R	2.524500e+001	2.550000e+001	2.575500e+001	-1.000000e-002	1.000000e-002	2	0402	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0402FT25R5CT-ND	RMCF0402FT25R5	Stackpole Electronics Inc	6.300000e-002	±1%	±100ppm/°C	0.04000	~	~						
R	2.772000e+002	2.800000e+002	2.828000e+002	-1.000000e-002	1.000000e-002	2	0402	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0402FT280KCT-ND	RMCF0402FT280K	Stackpole Electronics Inc	6.300000e-002	±1%	±100ppm/°C	0.04000	~	~						
R	2.772000e+003	2.800000e+003	2.828000e+003	-1.000000e-002	1.000000e-002	2	0402	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0402FT2K80CT-ND	RMCF0402FT2K80	Stackpole Electronics Inc	6.300000e-002	±1%	±100ppm/°C	0.04000	~	~						
