"Datasheets","Image","Digi-Key Part Number","Manufacturer Part Number","Manufacturer","Description","Quantity Available","Factory Stock","Unit Price (USD)","@ qty","Minimum Quantity","Packaging","Series","Capacitance","Voltage - Rated","Tolerance","Temperature Coefficient","Mounting Type","Operating Temperature","Applications","Ratings","Package / Case","Size / Dimension","Height - Seated (Max)","Thickness (Max)","Lead Spacing","Features"
"http://www.yuden.co.jp/productdata/catalog/en/mlcc101_e.pdf","http://media.digikey.com/renders/Taiyo%20Yuden%20Renders/0402%20(MK105).jpg","587-1393-1-ND","TMK325F106ZH-T","Taiyo Yuden","CAP CER 10UF 25V Y5V 1210",64163,0,"0.30000",0,1,"Cut Tape (CT)","M","10µF","25V","-20%, +80%","Y5V (F)","Surface Mount, MLCC","-30°C ~ 85°C","General Purpose","-","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","-","0.063"" (1.60mm)","-","-","-"
"http://www.yuden.co.jp/productdata/catalog/en/mlcc101_e.pdf","http://media.digikey.com/renders/Taiyo%20Yuden%20Renders/0402%20(MK105).jpg","587-1393-6-ND","TMK325F106ZH-T","Taiyo Yuden","CAP CER 10UF 25V Y5V 1210",64163,0,"Calculate",0,1,"Digi-Reel®","M","10µF","25V","-20%, +80%","Y5V (F)","Surface Mount, MLCC","-30°C ~ 85°C","General Purpose","-","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","-","0.063"" (1.60mm)","-","-","-"
"http://www.yuden.co.jp/productdata/catalog/en/mlcc101_e.pdf","http://media.digikey.com/Renders/Taiyo%20Yuden%20Renders/1210%20Pkg.jpg","587-1389-2-ND","UMK325F475ZH-T","Taiyo Yuden","CAP CER 4.7UF 50V Y5V 1210",98000,0,"0.07725",0,2000,"Tape & Reel (TR)","M","4.7µF","50V","-20%, +80%","Y5V (F)","Surface Mount, MLCC","-30°C ~ 85°C","General Purpose","-","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","-","0.063"" (1.60mm)","-","-","-"
"http://www.yuden.co.jp/productdata/catalog/en/mlcc101_e.pdf","http://media.digikey.com/Renders/Taiyo%20Yuden%20Renders/1210%20Pkg.jpg","587-1389-1-ND","UMK325F475ZH-T","Taiyo Yuden","CAP CER 4.7UF 50V Y5V 1210",100158,0,"0.38000",0,1,"Cut Tape (CT)","M","4.7µF","50V","-20%, +80%","Y5V (F)","Surface Mount, MLCC","-30°C ~ 85°C","General Purpose","-","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","-","0.063"" (1.60mm)","-","-","-"
"http://www.yuden.co.jp/productdata/catalog/en/mlcc101_e.pdf","http://media.digikey.com/Renders/Taiyo%20Yuden%20Renders/1210%20Pkg.jpg","587-1389-6-ND","UMK325F475ZH-T","Taiyo Yuden","CAP CER 4.7UF 50V Y5V 1210",100158,0,"Calculate",0,1,"Digi-Reel®","M","4.7µF","50V","-20%, +80%","Y5V (F)","Surface Mount, MLCC","-30°C ~ 85°C","General Purpose","-","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","-","0.063"" (1.60mm)","-","-","-"
"http://www.yuden.co.jp/productdata/catalog/en/mlcc101_e.pdf","http://media.digikey.com/renders/Taiyo%20Yuden%20Renders/0402%20(MK105).jpg","587-1391-2-ND","GMK325F106ZH-T","Taiyo Yuden","CAP CER 10UF 35V Y5V 1210",130000,0,"0.09383",0,2000,"Tape & Reel (TR)","M","10µF","35V","-20%, +80%","Y5V (F)","Surface Mount, MLCC","-30°C ~ 85°C","General Purpose","-","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","-","0.063"" (1.60mm)","-","-","-"
"http://www.yuden.co.jp/productdata/catalog/en/mlcc101_e.pdf","http://media.digikey.com/renders/Taiyo%20Yuden%20Renders/0402%20(MK105).jpg","587-1391-1-ND","GMK325F106ZH-T","Taiyo Yuden","CAP CER 10UF 35V Y5V 1210",130978,0,"0.42000",0,1,"Cut Tape (CT)","M","10µF","35V","-20%, +80%","Y5V (F)","Surface Mount, MLCC","-30°C ~ 85°C","General Purpose","-","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","-","0.063"" (1.60mm)","-","-","-"
"http://www.yuden.co.jp/productdata/catalog/en/mlcc101_e.pdf","http://media.digikey.com/renders/Taiyo%20Yuden%20Renders/0402%20(MK105).jpg","587-1391-6-ND","GMK325F106ZH-T","Taiyo Yuden","CAP CER 10UF 35V Y5V 1210",130978,0,"Calculate",0,1,"Digi-Reel®","M","10µF","35V","-20%, +80%","Y5V (F)","Surface Mount, MLCC","-30°C ~ 85°C","General Purpose","-","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","-","0.063"" (1.60mm)","-","-","-"
"http://www.vishay.com/docs/45171/kseries.pdf","http://media.digikey.com/Renders/Vishay%20BC%20Renders/Mono-Kap%20H5.jpg","BC1168TR-ND","K105Z20Y5VF5TH5","Vishay BC Components","CAP CER 1UF 50V RADIAL",3000,0,"0.06325",0,3000,"Tape & Reel (TR)","Mono-Kap™","1.0µF","50V","-20%, +80%","Y5V (F)","Through Hole","-30°C ~ 85°C","General Purpose","-","Radial","0.197"" L x 0.126"" W (5.00mm x 3.20mm)","0.297"" (7.54mm)","-","0.197"" (5.00mm)","-","Formed Leads"
"http://www.vishay.com/docs/45171/kseries.pdf","http://media.digikey.com/Renders/Vishay%20BC%20Renders/Mono-Kap%20H5.jpg","BC1168CT-ND","K105Z20Y5VF5TH5","Vishay BC Components","CAP CER 1UF 50V RADIAL",6554,0,"0.44000",0,1,"Cut Tape (CT)","Mono-Kap™","1.0µF","50V","-20%, +80%","Y5V (F)","Through Hole","-30°C ~ 85°C","General Purpose","-","Radial","0.197"" L x 0.126"" W (5.00mm x 3.20mm)","0.297"" (7.54mm)","-","0.197"" (5.00mm)","-","Formed Leads"
